record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,units_sold,store_encoded,lag_1,lag_2,lag_5,lag_19,ma_1,ma_2,ma_4
1592,2011-01-17,9961,216418,98.325,99.0375,0,1,146,70.75697612202362,14.0,45.0,113.0,20.0,14.0,29.5,59.5
1550,2011-01-17,9909,216418,99.0375,89.0625,0,1,99,66.38971675222086,146.0,14.0,138.0,30.0,146.0,80.0,61.5
1532,2011-01-17,9890,216418,99.0375,99.0375,0,1,113,59.5497777680628,99.0,146.0,41.0,109.0,99.0,122.5,76.0
1508,2011-01-17,9881,216418,98.325,98.325,0,1,142,65.76389918586939,113.0,99.0,45.0,104.0,113.0,106.0,93.0
1486,2011-01-17,9880,216418,86.925,86.925,0,1,82,45.878055121729744,142.0,113.0,14.0,64.0,142.0,127.5,125.0
913,2011-01-17,9436,216418,85.5,85.5,0,0,27,31.535345423314673,82.0,142.0,146.0,15.0,82.0,112.0,109.0
1468,2011-01-17,9879,216418,87.6375,86.925,0,1,61,37.76981050979769,27.0,82.0,99.0,24.0,27.0,54.5,91.0
1426,2011-01-17,9872,216418,84.075,84.075,0,0,113,54.55350796070519,61.0,27.0,113.0,65.0,61.0,44.0,78.0
1400,2011-01-17,9845,216418,98.325,106.1625,0,1,239,118.25494084386892,113.0,61.0,142.0,88.0,113.0,87.0,70.75
1380,2011-01-17,9809,216418,98.325,98.325,0,0,89,60.820032055466704,239.0,113.0,82.0,228.0,239.0,176.0,110.0
1362,2011-01-17,9837,216418,97.6125,97.6125,0,0,48,51.36374895222666,89.0,239.0,27.0,303.0,89.0,164.0,125.5
1334,2011-01-17,9823,216418,98.325,98.325,0,0,181,78.20049288057312,48.0,89.0,61.0,33.0,48.0,68.5,122.25
1314,2011-01-17,9813,216418,87.6375,87.6375,0,0,22,36.55610884447787,181.0,48.0,113.0,34.0,181.0,114.5,139.25
1449,2011-01-17,9876,216418,82.65,82.65,0,0,11,40.36172336238569,22.0,181.0,239.0,9.0,22.0,101.5,85.0
889,2011-01-17,9432,216418,82.65,82.65,0,0,26,33.973376422808286,11.0,22.0,89.0,113.0,11.0,16.5,65.5
1229,2011-01-17,9731,216418,97.6125,97.6125,0,0,50,42.52807421788554,26.0,11.0,48.0,138.0,26.0,18.5,60.0
853,2011-01-17,9439,216418,84.075,84.075,0,0,18,31.15514449683536,50.0,26.0,181.0,41.0,50.0,38.0,27.25
380,2011-01-17,8562,216418,98.325,98.325,0,0,118,65.80678095078778,18.0,50.0,22.0,45.0,18.0,34.0,26.25
360,2011-01-17,8555,216418,85.5,85.5,0,0,30,26.762239973708073,118.0,18.0,11.0,14.0,118.0,68.0,53.0
336,2011-01-17,8438,216418,86.925,86.925,0,0,98,51.64836111526701,30.0,118.0,26.0,146.0,30.0,74.0,54.0
314,2011-01-17,8422,216418,84.075,84.075,0,0,51,43.52645480823405,98.0,30.0,50.0,99.0,98.0,64.0,66.0
